Title,Original U.S. theatrical release date[rls 1],Other Theatrical Release Date,Animation studio[st 2],CoCredit,Released By,Film Type,Live-action / Animation hybrid,"Not produced by Disney, but released under its label.",US Release Exceptions,Released under the Touchstone Pictures label,Released by Disney outside North America,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,Release Note
Strange Magic,1/23/2015,,Lucasfilm Animation, Walt Disney Pictures,Touchstone Pictures,Animation,,,,Released under the Touchstone Pictures label,,,
Tinker Bell and the Legend of the NeverBeast,3/3/2015,,Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,Limited US release,,,,
Inside Out,6/19/2015,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
The Good Dinosaur,11/25/2015,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Zootopia,3/4/2016,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Finding Dory,6/17/2016,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Moana,11/23/2016,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Cars 3,6/16/2017,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Coco,11/22/2017,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Incredibles 2,6/15/2018,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Christopher Robin,8/3/2018,,2DUX², Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Ralph Breaks the Internet,11/21/2018,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Mary Poppins Returns,12/19/2018,,Lucamar Productions and Marc Platt Productions, Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Toy Story 4,6/21/2019,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
The Lion King,7/19/2019,,Fairview Entertainment, Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,Live-action / Animation hybrid,,,,,,
