,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
5728,The Secret Of The Magic Gourd,tt0496386,movie,The Secret Of The Magic Gourd,Bao hu lu de mi mi,0,2007,\N,84,"Drama,Family",both
5729,The Secret Of The Magic Gourd,tt6476724,movie,The Secret Of The Magic Gourd,Bao hu lu de bi mi,0,1963,\N,68,"Comedy,Drama,Fantasy",both
5730,The Shaggy D.A.,tt0075200,movie,The Shaggy D.A.,The Shaggy D.A.,0,1976,\N,91,"Comedy,Family,Fantasy",both
5732,The Shaggy Dog,tt0053271,movie,The Shaggy Dog,The Shaggy Dog,0,1959,\N,104,"Comedy,Family,Fantasy",both
5734,The Shaggy Dog,tt0393735,movie,The Shaggy Dog,The Shaggy Dog,0,2006,\N,98,"Comedy,Family,Fantasy",both
5738,The Sign Of Zorro,tt0054307,movie,The Sign Of Zorro,The Sign of Zorro,0,1958,\N,91,"Adventure,Drama,Family",both
5749,The Sorcerer'S Apprentice,tt0963966,movie,The Sorcerer'S Apprentice,The Sorcerer's Apprentice,0,2010,\N,109,"Action,Adventure,Family",both
5767,The Story Of Robin Hood And His Merrie Men,tt0045197,movie,The Story Of Robin Hood And His Merrie Men,The Story of Robin Hood and His Merrie Men,0,1952,\N,84,"Action,Adventure,Family",both
5768,The Straight Story,tt0166896,movie,The Straight Story,The Straight Story,0,1999,\N,112,"Biography,Drama",both
5771,The Strongest Man In The World,tt0073760,movie,The Strongest Man In The World,The Strongest Man in the World,0,1975,\N,92,"Comedy,Family,Sci-Fi",both
5777,The Sword And The Rose,tt0046387,movie,The Sword And The Rose,The Sword and the Rose,0,1953,\N,92,"Adventure,Drama,Family",both
5778,The Sword And The Rose,tt1686635,movie,The Sword And The Rose,A Espada e a Rosa,0,2010,\N,142,"Adventure,Drama,Fantasy",both
5779,The Sword In The Stone,tt0057546,movie,The Sword In The Stone,The Sword in the Stone,0,1963,\N,79,"Adventure,Animation,Comedy",both
5784,The Sword In The Stone,tt4872762,movie,The Sword In The Stone,The Sword in the Stone,0,2024,\N,\N,"Action,Adventure,Family",both
5786,The Three Caballeros,tt0038166,movie,The Three Caballeros,The Three Caballeros,0,1944,\N,71,"Animation,Comedy,Family",both
5790,The Three Lives Of Thomasina,tt0057579,movie,The Three Lives Of Thomasina,The Three Lives of Thomasina,0,1963,\N,97,"Drama,Family",both
5802,The Three Musketeers,tt0108333,movie,The Three Musketeers,The Three Musketeers,0,1993,\N,105,"Action,Adventure,Comedy",both
5860,The Tigger Movie,tt0220099,movie,The Tigger Movie,The Tigger Movie,0,2000,\N,77,"Adventure,Animation,Comedy",both
5862,The Ugly Dachshund,tt0061135,movie,The Ugly Dachshund,The Ugly Dachshund,0,1966,\N,93,"Comedy,Family",both
5863,The Vanishing Prairie,tt0047642,movie,The Vanishing Prairie,The Vanishing Prairie,0,1954,\N,71,"Documentary,Family",both
5865,The Watcher In The Woods,tt0081738,movie,The Watcher In The Woods,The Watcher in the Woods,0,1980,\N,84,"Family,Horror,Mystery",both
5869,The Wild,tt0405469,movie,The Wild,The Wild,0,2006,\N,95,"Adventure,Animation,Comedy",both
5882,The Wild Country,tt0067985,movie,The Wild Country,The Wild Country,0,1970,\N,100,"Action,Adventure,Comedy",both
5884,The World'S Greatest Athlete,tt0070928,movie,The World'S Greatest Athlete,The World's Greatest Athlete,0,1973,\N,93,"Comedy,Family,Romance",both
5885,The Young Black Stallion,tt0318850,movie,The Young Black Stallion,The Young Black Stallion,0,2003,\N,50,"Adventure,Drama,Family",both
5886,Third Man On The Mountain,tt0053352,movie,Third Man On The Mountain,Third Man on the Mountain,0,1959,\N,107,"Adventure,Drama,Family",both
5889,Those Calloways,tt0059796,movie,Those Calloways,Those Calloways,0,1965,\N,131,"Drama,Family",both
5891,Toby Tyler,tt0054390,movie,Toby Tyler Or Ten Weeks With A Circus,Toby Tyler or Ten Weeks with a Circus,0,1960,\N,96,"Drama,Family",both
5892,Tom And Huck,tt0112302,movie,Tom And Huck,Tom and Huck,0,1995,\N,97,"Adventure,Comedy,Drama",both
5901,Tomorrowland,tt1964418,movie,Tomorrowland,Tomorrowland,0,2015,\N,130,"Action,Adventure,Family",both
5914,Tomorrowland,tt7728220,movie,Tomorrowland,Tomorrowland,0,2017,\N,70,Documentary,both
5915,Tonka,tt0052300,movie,Tonka,Tonka,0,1958,\N,97,"Adventure,Drama,Family",both
5924,Tower Of Terror,tt0035462,movie,Tower Of Terror,Tower of Terror,0,1941,\N,78,Thriller,both
5933,Tower Of Terror,tt4922444,movie,Tower Of Terror,Tower of Terror,0,\N,\N,\N,"Horror,Thriller",both
5938,Toy Story,tt0114709,movie,Toy Story,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy",both
5969,Toy Story 2,tt0120363,movie,Toy Story 2,Toy Story 2,0,1999,\N,92,"Adventure,Animation,Comedy",both
5979,Toy Story 3,tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy",both
6011,Toy Story 4,tt1979376,movie,Toy Story 4,Toy Story 4,0,2019,\N,100,"Adventure,Animation,Comedy",both
6012,Trail Of The Panda,tt1247700,movie,Trail Of The Panda,Xiong mao hui jia lu,0,2009,\N,87,"Adventure,Family",both
6018,Treasure Island,tt0043067,movie,Treasure Island,Treasure Island,0,1950,\N,96,"Adventure,Family",both
6095,Treasure Of Matecumbe,tt0075347,movie,Treasure Of Matecumbe,Treasure of Matecumbe,0,1976,\N,117,"Adventure,Family,Western",both
6097,Treasure Planet,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,"Adventure,Animation,Family",both
6105,Trenchcoat,tt0086476,movie,Trenchcoat,Trenchcoat,0,1983,\N,91,"Comedy,Mystery,Thriller",both
6108,Tron,tt0084827,movie,Tron,TRON,0,1982,\N,96,"Action,Adventure,Sci-Fi",both
6111,Tron,tt12916062,movie,Tron,Tron,0,\N,\N,\N,\N,both
6123,Tron: Legacy,tt1104001,movie,Tron: Legacy,Tron,0,2010,\N,125,"Action,Adventure,Sci-Fi",both
6126,Tuck Everlasting,tt0081664,movie,Tuck Everlasting,Tuck Everlasting,0,1981,\N,90,"Drama,Family,Fantasy",both
6127,Tuck Everlasting,tt0283084,movie,Tuck Everlasting,Tuck Everlasting,0,2002,\N,90,"Drama,Family,Fantasy",both
6132,Turning Red,tt8097030,movie,Turning Red,Turning Red,0,2022,\N,100,"Adventure,Animation,Comedy",both
6144,Underdog,tt0467110,movie,Underdog,Underdog,0,2007,\N,100,"Action,Adventure,Comedy",both
6171,Unidentified Flying Oddball,tt0080062,movie,Unidentified Flying Oddball,The Spaceman and King Arthur,0,1979,\N,93,"Adventure,Comedy,Family",both
6176,Up,tt1049413,movie,Up,Up,0,2009,\N,96,"Adventure,Animation,Comedy",both
6205,Valiant,tt0361089,movie,Valiant,Valiant,0,2005,\N,76,"Adventure,Animation,Comedy",both
6219,Waking Sleeping Beauty,tt1159961,movie,Waking Sleeping Beauty,Waking Sleeping Beauty,0,2009,\N,86,"Documentary,Drama,History",both
6228,Walt & El Grupo,tt1223150,movie,Walt & El Grupo,Walt & El Grupo,0,2008,\N,106,Documentary,both
6234,"Westward Ho, The Wagons!",tt0049945,movie,"Westward Ho, The Wagons!","Westward Ho, the Wagons!",0,1956,\N,90,"Family,Western",both
6235,Where The Red Fern Grows,tt0072402,movie,Where The Red Fern Grows,Where the Red Fern Grows,0,1974,\N,97,"Drama,Family",both
6236,Where The Red Fern Grows,tt0192788,movie,Where The Red Fern Grows,Where the Red Fern Grows,0,2003,\N,86,"Drama,Family",both
6238,Whispers: An Elephant'S Tale,tt0185007,movie,Whispers: An Elephant'S Tale,Whispers: An Elephant's Tale,0,2000,\N,72,"Adventure,Family",both
6242,White Fang,tt0103247,movie,White Fang,White Fang,0,1991,\N,107,"Adventure,Drama",both
6251,White Fang 2: Myth Of The White Wolf,tt0111701,movie,White Fang 2: Myth Of The White Wolf,White Fang 2: Myth of the White Wolf,0,1994,\N,106,"Adventure,Family",both
6252,White Wilderness,tt0052389,movie,White Wilderness,White Wilderness,0,1958,\N,72,"Documentary,Family",both
6254,Wild Hearts Can'T Be Broken,tt0103262,movie,Wild Hearts Can'T Be Broken,Wild Hearts Can't Be Broken,0,1991,\N,88,"Drama,Family,Romance",both
6255,Wings Of Life,tt1222816,movie,Disneynature: Wings Of Life,Pollen,0,2011,\N,81,"Documentary,Family,News",both
6256,Winnie The Pooh (2011),tt1449283,movie,Winnie The Pooh,Winnie the Pooh,0,2011,\N,63,"Adventure,Animation,Comedy",both
6257,Winnie The Pooh: A Very Merry Pooh Year,tt0324572,movie,Winnie The Pooh: A Very Merry Pooh Year,Winnie the Pooh: A Very Merry Pooh Year,0,2002,\N,65,"Animation,Comedy,Drama",both
6266,Wreck-It Ralph,tt1772341,movie,Wreck-It Ralph,Wreck-It Ralph,0,2012,\N,101,"Adventure,Animation,Comedy",both
6275,Yellowstone Cubs,tt0206446,movie,Yellowstone Cubs,Yellowstone Cubs,0,1963,\N,48,"Adventure,Family",both
6277,Zokkomon,tt1605790,movie,Zokkomon,Zokkomon,0,2011,\N,109,"Action,Adventure,Family",both
6281,Zootopia,tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",both
