,orig_index,DFL_title,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,lower_title,averageRating,numVotes,_merge
14,258,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,"Comedy,Drama,Family",alexander and the terrible horrible no good very bad day,6.2,43592.0,both
15,268,Alice in Wonderland,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,1951,75,"Adventure,Animation,Comedy",alice in wonderland,7.4,137976.0,both
16,291,Alice in Wonderland,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy",alice in wonderland,6.4,404443.0,both
17,344,Alice Through the Looking Glass,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,2016,113,"Adventure,Family,Fantasy",alice through the looking glass,6.2,103982.0,both
18,356,Aliens of the Deep,tt0417415,movie,Aliens of the Deep,Aliens of the Deep,2005,100,"Documentary,Family",aliens of the deep,6.4,3003.0,both
19,358,Almost Angels,tt0055740,movie,Almost Angels,Almost Angels,1962,93,"Comedy,Family,Music",almost angels,6.6,545.0,both
20,360,America's Heart and Soul,tt0381006,movie,America's Heart & Soul,America's Heart & Soul,2004,84,Documentary,americas heart  soul,5.0,679.0,both
21,361,Amy,tt0082017,movie,Amy,Amy,1981,100,"Drama,Family",amy,6.6,464.0,both
22,429,Angels in the Outfield,tt0043286,movie,Angels in the Outfield,Angels in the Outfield,1951,99,"Comedy,Family,Fantasy",angels in the outfield,7.1,2401.0,both
23,430,Angels in the Outfield,tt0109127,movie,Angels in the Outfield,Angels in the Outfield,1994,102,"Comedy,Family,Fantasy",angels in the outfield,6.2,31557.0,both
24,433,Ant-Man,tt0478970,movie,Ant-Man,Ant-Man,2015,117,"Action,Adventure,Comedy",antman,7.3,634996.0,both
25,456,Ant-Man and the Wasp,tt5095030,movie,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,118,"Action,Adventure,Comedy",antman and the wasp,7.0,372401.0,both
26,473,Around the World in 80 Days,tt0327437,movie,Around the World in 80 Days,Around the World in 80 Days,2004,120,"Action,Adventure,Comedy",around the world in 80 days,5.8,88987.0,both
27,491,Artemis Fowl,tt3089630,movie,Artemis Fowl,Artemis Fowl,2020,95,"Adventure,Family,Fantasy",artemis fowl,4.2,27155.0,both
28,495,Atlantis: The Lost Empire,tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,2001,95,"Action,Adventure,Animation",atlantis the lost empire,6.9,115023.0,both
29,527,Avengers: Endgame,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,2019,181,"Action,Adventure,Drama",avengers endgame,8.4,1028204.0,both
30,538,Avengers: Infinity War,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",avengers infinity war,8.5,993970.0,both
31,561,Babes in Toyland,tt0054649,movie,Babes in Toyland,Babes in Toyland,1961,106,"Comedy,Family,Fantasy",babes in toyland,6.2,4138.0,both
32,563,Babes in Toyland,tt0168473,movie,Babes in Toyland,Babes in Toyland,1997,74,"Animation,Comedy,Family",babes in toyland,4.9,563.0,both
33,579,Bambi,tt0034492,movie,Bambi,Bambi,1942,70,"Adventure,Animation,Drama",bambi,7.3,139598.0,both
