,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
269,tt0133152,movie,Planet of the Apes,2001,119,"Action,Adventure,Sci-Fi"
270,tt0162661,movie,Sleepy Hollow,1999,105,"Fantasy,Horror,Mystery"
273,tt0319061,movie,Big Fish,2003,125,"Adventure,Drama,Fantasy"
274,tt0367594,movie,Charlie and the Chocolate Factory,2005,115,"Adventure,Comedy,Family"
276,tt0408236,movie,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama,Horror,Musical"
279,tt1014759,movie,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy"
280,tt1077368,movie,Dark Shadows,2012,113,"Comedy,Fantasy,Horror"
281,tt1126590,movie,Big Eyes,2014,106,"Biography,Crime,Drama"
282,tt1142977,movie,Frankenweenie,2012,87,"Animation,Comedy,Drama"
291,tt1935859,movie,Miss Peregrine's Home for Peculiar Children,2016,127,"Adventure,Drama,Family"
292,tt2049403,movie,Beetlejuice 2,2025,\N,"Comedy,Fantasy,Horror"
293,tt3861390,movie,Dumbo,2019,112,"Adventure,Family,Fantasy"
304,tt0052920,movie,Mr. Tease and His Playthings,1959,68,Comedy
306,tt0054852,movie,Erotica,1961,68,Comedy
307,tt0054859,movie,Eve and the Handyman,1961,65,"Comedy,Romance"
308,tt0056692,movie,Wild Gals of the Naked West,1962,65,"Comedy,Western"
309,tt0057047,movie,Europe in the Raw,1963,72,Documentary
310,tt0057133,movie,Heavenly Bodies!,1963,62,Comedy
311,tt0058088,movie,Russ Meyer's Fanny Hill,1964,104,Comedy
312,tt0058301,movie,Russ Meyer's Lorna,1964,78,Drama
313,tt0059170,movie,"Faster, Pussycat! Kill! Kill!",1965,83,"Action,Comedy"
314,tt0059474,movie,Motorpsycho!,1965,74,"Action,Thriller"
315,tt0059477,movie,Mudhoney,1965,92,Drama
316,tt0060712,movie,Mondo Topless,1966,60,Documentary
317,tt0061504,movie,Common Law Cabin,1967,70,Comedy
318,tt0061719,movie,Good Morning... and Goodbye!,1967,80,"Comedy,Drama"
319,tt0062973,movie,"Finders Keepers, Lovers Weepers!",1968,71,"Crime,Drama"
320,tt0063787,movie,Vixen!,1968,70,Drama
321,tt0064160,movie,"Cherry, Harry & Raquel!",1969,71,"Action,Comedy"
322,tt0065466,movie,Beyond the Valley of the Dolls,1970,109,"Comedy,Drama,Music"
323,tt0067736,movie,The Seven Minutes,1971,115,Drama
324,tt0069796,movie,Black Snake,1973,82,Thriller
325,tt0073768,movie,Supervixens,1975,106,Comedy
326,tt0075376,movie,Up!,1976,80,"Comedy,Mystery,Thriller"
327,tt0078846,movie,Beneath the Valley of the Ultra-Vixens,1979,93,Comedy
330,tt10912362,movie,The Breast of Russ Meyer,2001,\N,Comedy
332,tt10912436,movie,Melissa Mounds,1990,\N,Documentary
333,tt10912442,movie,"Mondo Topless, Too",1990,\N,Documentary
338,tt0083907,movie,The Evil Dead,1981,85,Horror
339,tt0088967,movie,Crimewave,1985,86,"Comedy,Crime,Horror"
340,tt0092991,movie,Evil Dead II,1987,84,"Comedy,Horror"
341,tt0099365,movie,Darkman,1990,96,"Action,Sci-Fi,Thriller"
342,tt0106308,movie,Army of Darkness,1992,81,"Comedy,Horror"
343,tt0114214,movie,The Quick and the Dead,1995,108,"Action,Romance,Thriller"
344,tt0120324,movie,A Simple Plan,1998,121,"Crime,Drama,Thriller"
345,tt0126916,movie,For Love of the Game,1999,137,"Drama,Romance,Sport"
346,tt0145487,movie,Spider-Man,2002,121,"Action,Adventure,Sci-Fi"
347,tt0219699,movie,The Gift,2000,112,"Drama,Fantasy,Horror"
348,tt0316654,movie,Spider-Man 2,2004,127,"Action,Adventure,Sci-Fi"
349,tt0413300,movie,Spider-Man 3,2007,139,"Action,Adventure,Sci-Fi"
351,tt1127180,movie,Drag Me to Hell,2009,99,Horror
355,tt1623205,movie,Oz the Great and Powerful,2013,130,"Adventure,Family,Fantasy"
356,tt17497950,movie,The Nola,\N,\N,\N
362,tt5504930,movie,World War 3,\N,\N,"Action,Sci-Fi"
364,tt6292018,movie,The Kingkiller Chronicle,\N,\N,Fantasy
373,tt8036976,movie,Send Help,\N,\N,"Horror,Thriller"
374,tt9419884,movie,Doctor Strange in the Multiverse of Madness,2022,\N,"Action,Adventure,Fantasy"
377,tt0077714,movie,I Wanna Hold Your Hand,1978,104,"Comedy,Music,Romance"
378,tt0081698,movie,Used Cars,1980,113,Comedy
379,tt0088011,movie,Romancing the Stone,1984,106,"Action,Adventure,Comedy"
380,tt0088763,movie,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi"
381,tt0096438,movie,Who Framed Roger Rabbit,1988,104,"Adventure,Animation,Comedy"
382,tt0096874,movie,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi"
383,tt0099088,movie,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi"
384,tt0104070,movie,Death Becomes Her,1992,104,"Comedy,Fantasy,Horror"
385,tt0109830,movie,Forrest Gump,1994,142,"Drama,Romance"
386,tt0118884,movie,Contact,1997,150,"Drama,Mystery,Sci-Fi"
387,tt0161081,movie,What Lies Beneath,2000,130,"Drama,Horror,Mystery"
