,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
14952,tt0023235,movie,The Monkey's Paw,1933,58,Horror
14953,tt0023238,movie,The Most Dangerous Game,1932,63,"Action,Adventure,Horror"
14954,tt0023816,movie,Blind Adventure,1933,65,Mystery
14955,tt0024216,movie,King Kong,1933,100,"Adventure,Horror,Sci-Fi"
14956,tt0024593,movie,Son of Kong,1933,70,"Adventure,Family,Horror"
14957,tt0025417,movie,Long Lost Father,1934,63,"Comedy,Drama,Romance"
14958,tt0026605,movie,The Last Days of Pompeii,1935,96,"Adventure,Drama"
14959,tt0029363,movie,Outlaws of the Orient,1937,61,"Action,Adventure,Drama"
14960,tt0029693,movie,Trouble in Morocco,1937,62,"Action,Adventure,Drama"
14961,tt0032412,movie,Dr. Cyclops,1940,77,"Adventure,Drama,Horror"
14962,tt0041650,movie,Mighty Joe Young,1949,94,"Adventure,Drama,Fantasy"
14963,tt0045231,movie,This Is Cinerama,1952,115,Documentary
14964,tt0173105,movie,Rango,1931,66,Adventure
14965,tt12100080,movie,Diving with Dolphins,2020,79,Documentary
14966,tt6332994,movie,Growing Up Wild,2016,78,Documentary
14967,tt0028788,movie,Dinner at the Ritz,1937,77,"Crime,Mystery,Romance"
14968,tt0029785,movie,Wings of the Morning,1937,89,"Drama,Music,Romance"
14969,tt0030112,movie,Exposed,1938,63,"Adventure,Comedy,Crime"
14970,tt0030644,movie,Queer Cargo,1938,61,Drama
14971,tt0030819,movie,Swing That Cheer,1938,70,"Comedy,Musical,Sport"
14972,tt0031759,movie,One Hour to Live,1939,61,Drama
14973,tt0032394,movie,Diamond Frontier,1940,73,"Adventure,Crime,Romance"
14974,tt0032491,movie,Framed,1940,60,Drama
14975,tt0032739,movie,Ma! He's Making Eyes at Me,1940,61,"Comedy,Music,Romance"
14976,tt0033085,movie,South to Karanga,1940,59,"Action,Drama"
14977,tt0033294,movie,Zanzibar,1940,70,Adventure
14978,tt0034202,movie,Small Town Deb,1942,73,Comedy
14979,tt0034358,movie,A Very Young Lady,1941,80,Comedy
14980,tt0034794,movie,Girl Trouble,1942,81,Comedy
14981,tt0035150,movie,On the Sunny Side,1942,69,"Drama,War"
14982,tt0035204,movie,The Postman Didn't Ring,1942,68,"Comedy,Romance"
14983,tt0035690,movie,Bomber's Moon,1943,67,Drama
14984,tt0036182,movie,My Friend Flicka,1943,89,"Action,Family,Western"
14985,tt0037048,movie,Marine Raiders,1944,90,"Drama,War"
14986,tt0038382,movie,Breakfast in Hollywood,1946,90,"Comedy,Music"
14987,tt0039890,movie,The Tender Years,1948,81,Drama
14988,tt0044796,movie,Kid Monk Baroni,1952,79,"Action,Drama,Sport"
14989,tt0045925,movie,Jack Slade,1953,90,Western
14990,tt0047192,movie,Loophole,1954,80,"Crime,Drama,Film-Noir"
14991,tt0047359,movie,Port of Hell,1954,80,Drama
14992,tt0047465,movie,Security Risk,1954,69,"Action,Drama"
14993,tt0048072,movie,Finger Man,1955,82,"Crime,Drama,Film-Noir"
14994,tt0048552,movie,The Return of Jack Slade,1955,79,Western
14995,tt0048699,movie,Tarzan's Hidden Jungle,1955,72,"Action,Adventure"
14996,tt0050268,movie,Courage of Black Beauty,1957,78,Adventure
14998,tt0050336,movie,Dragoon Wells Massacre,1957,88,Western
14999,tt0124076,movie,Portland Exposé,1957,72,"Crime,Mystery,Thriller"
15000,tt0416105,movie,The Power of the Resurrection,1958,60,Drama
15055,tt0381006,movie,America's Heart & Soul,2004,84,Documentary
15067,tt1222816,movie,Disneynature: Wings of Life,2011,81,"Documentary,Family,News"
15069,tt17347486,movie,Changing of the Gods,2022,\N,Documentary
15090,tt8258074,movie,Fantastic Fungi,2019,81,Documentary
15091,tt0095776,movie,Oliver & Company,1988,74,"Adventure,Animation,Comedy"
15094,tt3095020,movie,Timeless Tales,2005,58,Animation
15097,tt0107688,movie,The Nightmare Before Christmas,1993,76,"Animation,Family,Fantasy"
15098,tt0116683,movie,James and the Giant Peach,1996,79,"Adventure,Animation,Family"
15099,tt0166276,movie,Monkeybone,2001,93,"Animation,Comedy,Fantasy"
15100,tt0327597,movie,Coraline,2009,100,"Animation,Drama,Family"
15102,tt5181830,movie,Wendell and Wild,2022,\N,"Animation,Comedy,Family"
15103,tt0209475,movie,The Wedding Planner,2001,103,"Comedy,Romance"
15104,tt0219611,movie,Cosmo's Tale,1998,\N,\N
15105,tt0281358,movie,A Walk to Remember,2002,101,"Drama,Romance"
15106,tt0305669,movie,Bringing Down the House,2003,105,Comedy
15107,tt0395699,movie,The Pacifier,2005,95,"Action,Comedy,Drama"
15108,tt0427327,movie,Hairspray,2007,117,"Comedy,Drama,Musical"
15109,tt0452598,movie,Cheaper by the Dozen 2,2005,94,"Adventure,Comedy,Family"
15112,tt0960731,movie,Bedtime Stories,2008,99,"Adventure,Comedy,Family"
15114,tt1336608,movie,Rock of Ages,2012,123,"Comedy,Drama,Musical"
15118,tt1596342,movie,Disenchanted,2022,\N,"Adventure,Animation,Comedy"
15132,tt6474036,movie,The Chocolate Money,\N,\N,Drama
15134,tt7634968,movie,What Men Want,2019,117,"Comedy,Fantasy,Romance"
15138,tt0090840,movie,The Christmas Star,1986,94,"Drama,Family"
15139,tt0106627,movie,The Crush,1993,89,"Drama,Thriller"
15140,tt0116322,movie,Flipper,1996,95,"Adventure,Family"
15144,tt3956130,movie,New Me,\N,\N,Thriller
15145,tt4085110,movie,Stonybrook,\N,\N,Drama
15183,tt0265632,movie,Recess: School's Out,2001,82,"Adventure,Animation,Comedy"
15329,tt0381429,movie,Somersault,2004,106,"Drama,Romance"
15346,tt1996310,movie,Lore,2012,109,"Drama,Romance,War"
15347,tt3335606,movie,Berlin Syndrome,2017,116,"Drama,Horror,Mystery"
15348,tt3480822,movie,Black Widow,2021,134,"Action,Adventure,Sci-Fi"
15355,tt0462538,movie,The Simpsons Movie,2007,87,"Adventure,Animation,Comedy"
15438,tt8241000,movie,Extinct,2021,84,"Adventure,Animation,Comedy"
15439,tt0112499,movie,The Big Green,1995,100,"Comedy,Family,Sport"
15440,tt0165086,movie,The Secret Life of Girls,1999,90,"Comedy,Drama"
15443,tt1156448,movie,Heidi 4 Paws,2009,68,Family
15446,tt1979388,movie,The Good Dinosaur,2015,93,"Adventure,Animation,Comedy"
15447,tt0097029,movie,Catch Me If You Can,1989,106,"Action,Comedy,Drama"
15448,tt0106223,movie,The Adventures of Huck Finn,1993,108,"Adventure,Comedy,Drama"
15449,tt0110213,movie,The Jungle Book,1994,111,"Adventure,Family,Romance"
15450,tt0118956,movie,Deep Rising,1998,106,"Action,Adventure,Horror"
15451,tt0120616,movie,The Mummy,1999,124,"Action,Adventure,Fantasy"
15452,tt0209163,movie,The Mummy Returns,2001,130,"Action,Adventure,Fantasy"
15453,tt0338526,movie,Van Helsing,2004,131,"Action,Adventure,Fantasy"
15455,tt0455856,movie,When Worlds Collide,\N,\N,"Action,Drama,Sci-Fi"
15456,tt1046173,movie,G.I. Joe: The Rise of Cobra,2009,118,"Action,Adventure,Sci-Fi"
15457,tt1767354,movie,Odd Thomas,2013,100,"Comedy,Fantasy,Horror"
15458,tt0120185,movie,Spice World,1997,93,"Comedy,Family,Music"
15459,tt0120317,movie,That Darn Cat,1997,89,"Action,Comedy,Crime"
15461,tt0251174,movie,Chilly Dogs,2001,86,"Adventure,Comedy,Sport"
15670,tt0114040,movie,Once in a Blue Moon,1995,96,"Adventure,Family,Fantasy"
15673,tt0196516,movie,The Duke,1999,88,"Comedy,Drama,Family"
15674,tt0343603,movie,Fugitives Run,2005,83,Comedy
15682,tt1756808,movie,The Godchild,2010,83,Fantasy
15685,tt0066803,movie,B.S. I Love You,1971,99,"Comedy,Romance"
15686,tt0068995,movie,Neither by Day Nor by Night,1972,85,Drama
15687,tt0071597,movie,Harrad Summer,1974,103,Drama
15688,tt0073139,movie,I Wonder Who's Killing Her Now?,1975,87,"Comedy,Crime"
15695,tt0079832,movie,Running,1979,102,"Drama,Sport"
15698,tt0082263,movie,The Devil and Max Devlin,1981,96,"Comedy,Family,Fantasy"
15719,tt0093876,movie,Rolling Vengeance,1987,90,"Action,Drama"
15724,tt0100175,movie,Money,1991,105,"Drama,Thriller"
15726,tt0104763,movie,Love & Murder,1990,87,"Crime,Horror,Thriller"
15728,tt0107604,movie,Morning Glory,1993,96,Drama
15751,tt0024001,movie,Falling for You,1933,88,"Comedy,Musical"
15752,tt0024945,movie,The Camels Are Coming,1934,79,"Adventure,Comedy"
15753,tt0027938,movie,The Man Who Lived Again,1936,66,"Horror,Sci-Fi"
15754,tt0028033,movie,Nine Days a Queen,1936,80,"Drama,History"
15755,tt0029081,movie,King Solomon's Mines,1937,77,"Action,Adventure,Family"
15756,tt0029319,movie,Non-Stop New York,1937,69,"Crime,Drama,Romance"
15757,tt0030546,movie,To the Victor,1938,78,"Comedy,Drama,Family"
15758,tt0030905,movie,Jack of All Trades,1936,76,Comedy
15759,tt0031853,movie,Return to Yesterday,1940,69,Drama
15760,tt0032110,movie,The Ware Case,1938,79,"Drama,Mystery"
15761,tt0032154,movie,Young Man's Fancy,1939,77,Comedy
15762,tt0033169,movie,Tom Brown's School Days,1940,86,Drama
15763,tt0033365,movie,Back Street,1941,89,Drama
15764,tt0034919,movie,Joan of Paris,1942,91,"Drama,Romance,War"
15765,tt0035897,movie,Forever and a Day,1943,104,"Drama,History"
15766,tt0036969,movie,Jane Eyre,1943,97,"Drama,Romance"
15767,tt0039324,movie,Dishonored Lady,1947,85,"Crime,Drama,Film-Noir"
15768,tt0040887,movie,To the Ends of the Earth,1948,109,"Crime,Film-Noir,Thriller"
15769,tt0041495,movie,The Woman on Pier 13,1949,73,"Crime,Drama,Film-Noir"
15770,tt0043118,movie,"Walk Softly, Stranger",1950,81,"Crime,Drama,Film-Noir"
15771,tt0043828,movie,My Forbidden Past,1951,70,"Crime,Drama,Romance"
15772,tt0044825,movie,The Las Vegas Story,1952,88,"Crime,Drama,Film-Noir"
15773,tt0044863,movie,Macao,1952,81,"Adventure,Crime,Drama"
15775,tt0050567,movie,Johnny Tremain,1957,80,"Adventure,Family,History"
15776,tt0050798,movie,Old Yeller,1957,83,"Adventure,Drama,Family"
15777,tt0052722,movie,Darby O'Gill and the Little People,1959,93,"Adventure,Family,Fantasy"
15778,tt0053994,movie,Kidnapped,1959,97,"Action,Adventure,Drama"
15779,tt0054594,movie,The Absent Minded Professor,1961,92,"Comedy,Family,Sci-Fi"
15780,tt0056095,movie,In Search of the Castaways,1962,98,"Adventure,Family,Fantasy"
15781,tt0057518,movie,Son of Flubber,1963,100,"Comedy,Family,Sci-Fi"
15782,tt0058331,movie,Mary Poppins,1964,139,"Comedy,Family,Fantasy"
15783,tt0058355,movie,The Misadventures of Merlin Jones,1964,91,"Comedy,Family,Sci-Fi"
15784,tt0059462,movie,The Monkey's Uncle,1965,91,"Comedy,Family,Sci-Fi"
15785,tt0059793,movie,That Darn Cat!,1965,116,"Comedy,Crime,Family"
15786,tt0061715,movie,The Gnome-Mobile,1967,84,"Adventure,Family,Fantasy"
15787,tt0062737,movie,Blackbeard's Ghost,1968,106,"Comedy,Family,Fantasy"
15788,tt0064603,movie,The Love Bug,1968,108,"Comedy,Family,Sport"
15790,tt0071607,movie,Herbie Rides Again,1974,88,"Comedy,Family,Fantasy"
15791,tt0071671,movie,The Island at the Top of the World,1974,93,"Adventure,Family,Fantasy"
15792,tt0075016,movie,One of Our Dinosaurs Is Missing,1975,94,"Adventure,Comedy,Family"
15793,tt0075200,movie,The Shaggy D.A.,1976,91,"Comedy,Family,Fantasy"
15794,tt0253120,movie,A Blonde Dream,1932,86,Musical
15892,tt1587310,movie,Maleficent,2014,97,"Adventure,Family,Fantasy"
15893,tt2437534,movie,Safari,\N,\N,Sci-Fi
15894,tt3750572,movie,The Tail of Emily Windsnap,\N,\N,Family
15895,tt4501194,movie,Relativity,\N,\N,"Biography,Drama,Romance"
15901,tt5315334,movie,Carnival,\N,\N,Thriller
15907,tt0175876,movie,Mad Cows,1999,90,Comedy
15908,tt0188128,movie,Very Annie Mary,2001,104,"Comedy,Musical"
15910,tt0361467,movie,Confessions of a Teenage Drama Queen,2004,89,"Comedy,Family,Music"
15911,tt12048234,movie,Save the Cinema,2022,109,Drama
15914,tt12627606,movie,Midas Man,\N,\N,"Biography,Drama"
15917,tt1703923,movie,Vinyl,2012,85,Comedy
15921,tt0054195,movie,Pollyanna,1960,134,"Comedy,Drama,Family"
15922,tt0055277,movie,The Parent Trap,1961,129,"Comedy,Family,Romance"
15923,tt0056101,movie,The Interns,1962,120,Drama
15924,tt0057262,movie,Love Is a Ball,1963,111,"Comedy,Romance"
15925,tt0057622,movie,Under the Yum Yum Tree,1963,110,"Comedy,Romance"
15926,tt0058153,movie,Good Neighbor Sam,1964,130,Comedy
15927,tt0061791,movie,How to Succeed in Business Without Really Trying,1967,121,"Comedy,Musical"
15959,tt0063668,movie,Horus: Prince of the Sun,1968,82,"Action,Adventure,Animation"
15962,tt0081881,movie,Chie the Brat,1981,105,"Animation,Comedy,Family"
15963,tt0083053,movie,Gauche the Cellist,1982,60,"Animation,Fantasy,Music"
15964,tt0094345,movie,The Story of Yanagawa's Canals,1987,167,Documentary
15965,tt0095327,movie,Grave of the Fireflies,1988,89,"Animation,Drama,War"
15966,tt0102587,movie,Only Yesterday,1991,118,"Animation,Drama,Romance"
15967,tt0110008,movie,Pom Poko,1994,119,"Animation,Comedy,Drama"
15968,tt0206013,movie,My Neighbors the Yamadas,1999,104,"Animation,Comedy,Family"
16101,tt11512640,movie,From the Apennines to the Andes: The Movie,1980,107,"Adventure,Animation,Drama"
16230,tt2555422,movie,Anne of Green Gables: Road to Green Gables,2010,100,"Animation,Drama,Family"
16231,tt2576852,movie,The Tale of The Princess Kaguya,2013,137,"Animation,Drama,Family"
16297,tt6649276,movie,Heidi in the Mountains,1974,93,"Adventure,Animation,Comedy"
16298,tt6650752,movie,Heidi a scuola,1974,\N,Animation
16299,tt6650832,movie,Heidi in città,1974,\N,"Adventure,Animation,Comedy"
16300,tt6650886,movie,Heidi torna tra i monti,1979,\N,Animation
16301,tt0057543,movie,Sunday in New York,1963,105,"Comedy,Romance"
16302,tt0058056,movie,Emil and the Detectives,1964,99,"Comedy,Crime,Drama"
16303,tt0061585,movie,"Doctor, You've Got to Be Kidding!",1967,94,"Comedy,Music,Romance"
16304,tt0063643,movie,"Stay Away, Joe",1968,102,"Comedy,Musical,Romance"
16305,tt0065125,movie,The Trouble with Girls,1969,97,"Comedy,History,Musical"
16526,tt0113104,movie,Frank and Ollie,1995,89,Documentary
16529,tt1223150,movie,Walt & El Grupo,2008,106,Documentary
16530,tt0055793,movie,Big Red,1962,89,"Adventure,Drama,Family"
16532,tt0057473,movie,Savage Sam,1963,103,"Adventure,Drama,Family"
16533,tt0058657,movie,A Tiger Walks,1964,91,"Drama,Family"
16534,tt0059796,movie,Those Calloways,1965,131,"Drama,Family"
16535,tt0060420,movie,"Follow Me, Boys!",1966,131,"Drama,Family"
16536,tt0061135,movie,The Ugly Dachshund,1966,93,"Comedy,Family"
16538,tt0061749,movie,The Happiest Millionaire,1967,141,"Comedy,Family,Musical"
16539,tt0063091,movie,The Horse in the Gray Flannel Suit,1968,113,"Comedy,Drama,Family"
16540,tt0064875,movie,Rascal,1969,85,"Drama,Family"
16541,tt0065482,movie,The Boatniks,1970,99,"Comedy,Family"
16542,tt0069291,movie,Snowball Express,1972,93,"Comedy,Family"
16543,tt0072402,movie,Where the Red Fern Grows,1974,97,"Drama,Family"
16544,tt0072653,movie,The Apple Dumpling Gang,1975,100,"Comedy,Family,Western"
16545,tt0074968,movie,"No Deposit, No Return",1976,112,"Comedy,Family"
16546,tt0075807,movie,Candleshoe,1977,101,"Adventure,Comedy,Drama"
16547,tt0077305,movie,The Cat from Outer Space,1978,104,"Comedy,Family,Sci-Fi"
16726,tt0100167,movie,The Stone Age Warriors,1991,91,Action
16727,tt0100778,movie,Tin si hang dung III: Moh lui mut yat,1989,91,"Action,Crime,Drama"
16728,tt0104558,movie,Supercop,1992,96,"Action,Comedy,Crime"
16729,tt0106544,movie,Supercop 2,1993,104,"Action,Comedy,Crime"
16730,tt0113326,movie,Rumble in the Bronx,1995,104,"Action,Comedy,Crime"
16731,tt0116704,movie,First Strike,1996,107,"Action,Adventure,Comedy"
16732,tt0119718,movie,Mr. Magoo,1997,87,"Adventure,Comedy,Family"
16733,tt0266408,movie,China Strike Force,2000,103,"Action,Crime"
16734,tt0365847,movie,The Myth,2005,122,"Action,Adventure,Comedy"
16738,tt13936230,movie,Rising Shaolin: The Protector,2021,90,"Action,Drama"
16739,tt4217392,movie,Kung Fu Yoga,2017,107,"Action,Adventure,Comedy"
16740,tt6144244,movie,City Hunter,\N,\N,Action
16741,tt9695722,movie,Vanguard,2020,107,"Action,Adventure,Comedy"
16742,tt0057441,movie,The Quick and the Dead,1963,92,"Action,Drama,War"
16743,tt0064217,movie,Death of a Gunfighter,1969,94,Western
16744,tt0067985,movie,The Wild Country,1970,100,"Action,Adventure,Comedy"
16748,tt0075087,movie,Pony Express Rider,1976,100,Western
16749,tt0097156,movie,Dark Before Dawn,1988,95,"Action,Mystery"
16828,tt0283426,movie,The Jungle Book 2,2003,72,"Adventure,Animation,Comedy"
16829,tt0398872,movie,Clifford's Really Big Movie,2004,74,"Adventure,Animation,Comedy"
16830,tt0765465,movie,The Legend of Secret Pass,2010,92,"Animation,Family,Fantasy"
16849,tt1691344,movie,Trouble Down Under,\N,100,"Animation,Drama"
16850,tt2400688,movie,Stonerunner,\N,\N,"Animation,Family,Sci-Fi"
16903,tt0101414,movie,Beauty and the Beast,1991,84,"Animation,Family,Fantasy"
16904,tt0116583,movie,The Hunchback of Notre Dame,1996,91,"Animation,Drama,Family"
16905,tt0230011,movie,Atlantis: The Lost Empire,2001,95,"Action,Adventure,Animation"
16917,tt0067952,movie,Villain,1971,98,"Crime,Drama,Thriller"
16918,tt0068576,movie,Fear Is the Key,1972,103,"Action,Crime,Drama"
16920,tt0073480,movie,Mr. Quilp,1975,118,Musical
16922,tt0074799,movie,The Likely Lads,1976,90,Comedy
16929,tt0086476,movie,Trenchcoat,1983,91,"Comedy,Mystery,Thriller"
16938,tt0097891,movie,The Misadventures of Mr. Wilt,1989,92,"Comedy,Crime"
16951,tt0233277,movie,Back to the Secret Garden,2000,100,"Family,Fantasy"
16970,tt0100814,movie,Tremors,1990,96,"Comedy,Horror"
16971,tt0101587,movie,City Slickers,1991,113,"Comedy,Western"
16972,tt0107091,movie,Heart and Souls,1993,104,"Comedy,Drama,Fantasy"
16973,tt0111256,movie,Speechless,1994,99,"Comedy,Romance"
16974,tt0120751,movie,Mighty Joe Young,1998,114,"Action,Adventure,Family"
16975,tt0180052,movie,The Adventures of Pluto Nash,2002,95,"Action,Comedy,Sci-Fi"
16977,tt0311863,movie,Stealing Sinatra,2003,96,"Biography,Comedy,Drama"
16979,tt0426615,movie,In the Mix,2005,95,"Comedy,Crime,Drama"
17018,tt15487052,movie,The New Freedom,1973,15,\N
17089,tt0435761,movie,Toy Story 3,2010,103,"Adventure,Animation,Comedy"
17092,tt2380307,movie,Coco,2017,105,"Adventure,Animation,Comedy"
17094,tt0119715,movie,Mousehunt,1997,98,Comedy
17096,tt0236493,movie,The Mexican,2001,123,"Adventure,Comedy,Crime"
17097,tt0298130,movie,The Ring,2002,115,"Horror,Mystery"
17098,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action,Adventure,Fantasy"
17099,tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,2006,151,"Action,Adventure,Fantasy"
17100,tt0384680,movie,The Weather Man,2005,102,"Comedy,Drama"
17101,tt0449088,movie,Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy"
17103,tt1192628,movie,Rango,2011,107,"Action,Adventure,Animation"
17104,tt1210819,movie,The Lone Ranger,2013,150,"Action,Adventure,Western"
17105,tt12562368,movie,Sandkings,\N,\N,"Adventure,Fantasy,Sci-Fi"
17106,tt1341338,movie,Untitled Gore Verbinski Project,\N,\N,Drama
17107,tt1830809,movie,Spaceless,2023,\N,Sci-Fi
17108,tt4731136,movie,A Cure for Wellness,2016,146,"Drama,Fantasy,Horror"
17109,tt0196106,movie,MVP: Most Valuable Primate,2000,93,"Comedy,Family,Sport"
17110,tt0285685,movie,MVP: Most Vertical Primate,2001,87,"Comedy,Family,Sport"
17113,tt0367088,movie,Spymate,2003,81,"Adventure,Comedy,Family"
17114,tt0387925,movie,Chestnut: Hero of Central Park,2004,87,"Comedy,Drama,Family"
17135,tt2414212,movie,Santa Paws 2: The Santa Pups,2012,88,"Adventure,Family"
17137,tt4257950,movie,Russell Madness,2015,92,Family
17138,tt4820278,movie,Monkey Up,2016,83,"Comedy,Family,Fantasy"
17140,tt6357074,movie,Pup Star: Better 2Gether,2017,92,Family
17141,tt7322864,movie,Pup Star: World Tour,2018,87,"Comedy,Family,Musical"
17142,tt8861786,movie,Puppy Star Christmas,2018,91,"Comedy,Family,Musical"
17144,tt0109287,movie,Blank Check,1994,93,"Comedy,Crime,Family"
17145,tt0114322,movie,The Sadness of Sex,1995,87,"Comedy,Romance"
17146,tt0145531,movie,Stigmata,1999,103,Horror
17150,tt0432291,movie,The Fog,2005,100,"Horror,Mystery"
17158,tt5354502,movie,Waco,\N,\N,Drama
17161,tt0120744,movie,The Man in the Iron Mask,1998,132,"Action,Adventure,Drama"
17162,tt0277434,movie,We Were Soldiers,2002,138,"Action,Drama,History"
17163,tt1028576,movie,Secretariat,2010,123,"Biography,Drama,Family"
17164,tt14369976,movie,The Swiss Guard,2022,\N,Action
17165,tt1929263,movie,Heaven Is for Real,2014,99,"Biography,Drama,Family"
17167,tt0119324,movie,The House of Yes,1997,85,"Comedy,Drama"
17168,tt0192111,movie,Head Over Heels,2001,86,"Comedy,Mystery,Romance"
17170,tt0322330,movie,Freaky Friday,2003,97,"Comedy,Family,Fantasy"
17171,tt0377092,movie,Mean Girls,2004,97,Comedy
17172,tt0416236,movie,The Spiderwick Chronicles,2008,96,"Action,Adventure,Drama"
17173,tt0425123,movie,Just Like Heaven,2005,95,"Comedy,Drama,Fantasy"
17174,tt0821640,movie,Ghosts of Girlfriends Past,2009,115,"Comedy,Fantasy,Romance"
17175,tt0889138,movie,Untitled Houdini Project,\N,\N,Drama
17176,tt1396218,movie,Mr. Popper's Penguins,2011,94,"Comedy,Family,Fantasy"
17178,tt15565972,movie,Harvest Moon,\N,\N,"Comedy,Drama"
17179,tt1686821,movie,Vampire Academy,2014,104,"Action,Comedy,Drama"
17180,tt1798603,movie,Bad Santa 2,2016,92,"Comedy,Crime,Drama"
17181,tt1846502,movie,S.O.S.,\N,\N,Drama
17185,tt3739090,movie,Inversion,\N,\N,Sci-Fi
17186,tt3979300,movie,Magic Camp,2020,100,"Comedy,Family,Fantasy"
17189,tt4590256,movie,He's All That,2021,88,"Comedy,Romance"
17193,tt0089538,movie,The Malibu Bikini Shop,1986,99,"Comedy,Romance"
17195,tt0307095,movie,"Likely Stories, Vol. 3",1983,58,Comedy
17320,tt0848537,movie,Epic,2013,102,"Action,Adventure,Animation"
17321,tt17072594,movie,The Ugly Duckling (Blue Sky Studios),1997,7,Animation
17331,tt3095734,movie,Monster Trucks,2016,104,"Action,Adventure,Comedy"
17333,tt0109520,movie,D2: The Mighty Ducks,1994,106,"Comedy,Drama,Family"
17334,tt0112606,movie,Bye Bye Love,1995,106,Comedy
17335,tt0119190,movie,George of the Jungle,1997,92,"Action,Adventure,Comedy"
17337,tt0129280,movie,The Out-of-Towners,1999,90,Comedy
17338,tt0161083,movie,What's the Worst That Could Happen?,2001,94,"Comedy,Crime"
17340,tt0325258,movie,Dickie Roberts: Former Child Star,2003,98,Comedy
17469,tt3961042,movie,The Miracle of St. Anthony,\N,\N,Sport
17471,tt0101329,movie,An American Tail: Fievel Goes West,1991,75,"Adventure,Animation,Family"
17472,tt0108526,movie,We're Back! A Dinosaur's Story,1993,72,"Adventure,Animation,Comedy"
17473,tt0112453,movie,Balto,1995,78,"Adventure,Animation,Drama"
17474,tt0268695,movie,The Time Machine,2002,96,"Action,Adventure,Sci-Fi"
17475,tt1305591,movie,Mars Needs Moms,2010,88,"Action,Adventure,Animation"
17476,tt15405372,movie,The Brillant World of Tom Gates,2022,94,"Animation,Comedy,Drama"
17477,tt1621435,movie,The Dandy Roll,\N,\N,Crime
17478,tt6332706,movie,Save the Cat,\N,\N,Family
17479,tt0019056,movie,Kit Carson,1928,84,Western
17480,tt0019276,movie,Pioneer Scout,1928,65,Western
17481,tt0019436,movie,The Sunset Legion,1928,70,"Action,Adventure,Comedy"
17482,tt0019705,movie,Blue Skies,1929,60,"Drama,Romance"
17483,tt0019759,movie,Chasing Through Europe,1929,62,"Comedy,Drama"
17484,tt0020837,movie,Double Cross Roads,1930,64,\N
17485,tt0020868,movie,Fair Warning,1931,74,Western
17486,tt0021051,movie,The Last of the Duanes,1930,62,Western
17487,tt0021610,movie,Annabelle's Affairs,1931,76,Romance
17488,tt0021946,movie,Heartbreak,1931,63,"Drama,Romance,War"
17489,tt0022649,movie,Bachelor's Affairs,1932,64,"Comedy,Romance"
17490,tt0022928,movie,The Gay Caballero,1932,60,Western
17491,tt0023367,movie,Rackety Rax,1932,70,"Action,Comedy,Crime"
17492,tt0023741,movie,Advice to the Forlorn,1933,62,"Comedy,Drama,Romance"
17493,tt0024104,movie,"Hello, Sister!",1933,62,"Drama,Romance"
17494,tt0024189,movie,It's Great to Be Alive,1933,69,"Comedy,Musical,Sci-Fi"
17495,tt0025272,movie,The House of Rothschild,1934,88,"Biography,Drama,History"
17496,tt0026013,movie,You Belong to Me,1934,67,Drama
17497,tt0027043,movie,Stolen Harmony,1935,80,"Crime,Musical,Romance"
17498,tt0027912,movie,Love in Exile,1936,63,"Comedy,Drama,Romance"
17499,tt0028631,movie,Big Town Girl,1937,66,"Comedy,Crime,Drama"
17500,tt0028721,movie,City Girl,1938,63,"Crime,Drama"
17501,tt0029749,movie,We Have Our Moments,1937,65,"Comedy,Mystery,Romance"
17502,tt0029779,movie,Wild and Woolly,1937,65,"Comedy,Western"
17503,tt0030173,movie,Gateway,1938,75,Drama
17504,tt0030321,movie,Kidnapped,1938,90,"Adventure,Drama"
17505,tt0030920,movie,Up the River,1938,75,Comedy
17506,tt0031022,movie,The Adventures of Sherlock Holmes,1939,85,"Crime,Mystery,Thriller"
17507,tt0031499,movie,It Could Happen to You,1939,70,"Comedy,Mystery"
17508,tt0031719,movie,News Is Made at Night,1939,70,"Action,Adventure,Comedy"
17509,tt0033917,movie,Moon Over Her Shoulder,1941,68,Comedy
17510,tt0034424,movie,A-Haunting We Will Go,1942,67,"Adventure,Comedy"
17511,tt0035008,movie,The Mad Martindales,1942,65,"Comedy,Drama,Romance"
17512,tt0035551,movie,Whispering Ghosts,1942,75,"Comedy,Mystery"
17513,tt0037111,movie,My Pal Wolf,1944,75,"Adventure,Drama,Family"
17514,tt0038937,movie,Shock,1946,70,"Film-Noir,Thriller"
17515,tt0039709,movie,Pirates of Monterey,1947,77,"Adventure,Drama,Romance"
17516,tt0039761,movie,Repeat Performance,1947,91,"Crime,Drama,Fantasy"
17517,tt0040427,movie,He Walked by Night,1948,79,"Crime,Film-Noir,Thriller"
17518,tt0041600,movie,Lost Boundaries,1949,99,Drama
17519,tt0044012,movie,Sealed Cargo,1951,90,"Drama,Romance,War"
17520,tt0045309,movie,Walk East on Beacon!,1952,98,"Drama,Film-Noir,Thriller"
17521,tt0045684,movie,Devil's Canyon,1953,92,Western
17522,tt0045986,movie,The Last Posse,1953,73,Western
17523,tt0047581,movie,Three Hours to Kill,1954,77,Western
