,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
75,nm0000165,director,Ron Howard,1954.0,tt3778644,director,Solo: A Star Wars Story,135.0,"Action,Adventure,Sci-Fi",PG-13,2018-05-25,2018.0,5.0,25.0,Friday,275000000.0,392924807.0,0.42881748,6.9,327357.0,both,64.0
80,nm0000165,director,Ron Howard,1954.0,tt6772802,director,Hillbilly Elegy,116.0,Drama,R,2020-11-24,2020.0,11.0,24.0,Tuesday,45000000.0,0.0,-1.0,6.7,40691.0,both,66.0
81,nm0000165,director,Ron Howard,1954.0,tt6964076,director,Pavarotti,114.0,"Biography,Documentary,Music",PG-13,2019-12-30,2019.0,12.0,30.0,Monday,0.0,8083942.0,inf,7.5,3366.0,both,65.0
83,nm0000165,director,Ron Howard,1954.0,tt9735350,director,Rebuilding Paradise,90.0,Documentary,PG-13,2020-09-08,2020.0,9.0,8.0,Tuesday,0.0,3414.0,inf,7.0,535.0,both,66.0
87,nm0000186,director,David Lynch,1946.0,tt0074486,director,Eraserhead,89.0,"Fantasy,Horror",Not Rated,1978-02-03,1977.0,2.0,3.0,Friday,10000.0,23557.0,1.3557,7.3,112789.0,both,31.0
88,nm0000186,director,David Lynch,1946.0,tt0080678,director,The Elephant Man,124.0,"Biography,Drama",PG,1980-10-10,1980.0,10.0,10.0,Friday,5000000.0,26023860.0,4.204772,8.2,235495.0,both,34.0
89,nm0000186,director,David Lynch,1946.0,tt0087182,director,Dune,137.0,"Action,Adventure,Sci-Fi",PG-13,1984-12-14,1984.0,12.0,14.0,Friday,40000000.0,30979816.0,-0.2255046,6.3,158413.0,both,38.0
90,nm0000186,director,David Lynch,1946.0,tt0090756,director,Blue Velvet,120.0,"Crime,Drama,Mystery",R,1986-01-01,1986.0,1.0,1.0,Wednesday,6000000.0,8618766.0,0.436461,7.7,193655.0,both,40.0
92,nm0000186,director,David Lynch,1946.0,tt0100935,director,Wild at Heart,125.0,"Comedy,Crime,Drama",R,1990-08-17,1990.0,8.0,17.0,Friday,9500000.0,14561425.0,0.5327815789473684,7.2,91218.0,both,44.0
93,nm0000186,director,David Lynch,1946.0,tt0105665,director,Twin Peaks: Fire Walk with Me,134.0,"Drama,Horror,Mystery",R,1992-08-28,1992.0,8.0,28.0,Friday,10000000.0,4184990.0,-0.581501,7.2,94797.0,both,46.0
94,nm0000186,director,David Lynch,1946.0,tt0116922,director,Lost Highway,134.0,"Mystery,Thriller",R,1997-01-15,1997.0,1.0,15.0,Wednesday,15000000.0,3703548.0,-0.7530968,7.6,139197.0,both,51.0
95,nm0000186,director,David Lynch,1946.0,tt0166896,director,The Straight Story,112.0,"Biography,Drama",G,1999-11-03,1999.0,11.0,3.0,Wednesday,10000000.0,6416569.0,-0.3583431,8.0,88804.0,both,53.0
96,nm0000186,director,David Lynch,1946.0,tt0166924,director,Mulholland Drive,147.0,"Drama,Mystery,Thriller",R,2001-10-19,2001.0,10.0,19.0,Friday,15000000.0,20271129.0,0.3514086,7.9,345881.0,both,55.0
102,nm0000186,director,David Lynch,1946.0,tt0460829,director,Inland Empire,180.0,"Drama,Fantasy,Mystery",R,2007-02-07,2006.0,2.0,7.0,Wednesday,0.0,4046144.0,inf,6.8,56527.0,both,60.0
174,nm0000186,director,David Lynch,1946.0,tt5334704,director,Twin Peaks: The Missing Pieces,91.0,"Drama,Horror,Mystery",error,2014-08-01,2014.0,8.0,1.0,Friday,0.0,0.0,,7.6,10579.0,both,68.0
193,nm0000200,director,Bill Paxton,1955.0,tt0388980,director,The Greatest Game Ever Played,120.0,"Biography,Drama,Sport",PG,2005-09-30,2005.0,9.0,30.0,Friday,26000000.0,15431177.0,-0.4064931923076923,7.4,30200.0,both,50.0
198,nm0000229,director,Steven Spielberg,1946.0,tt0059181,director,Firelight,140.0,"Sci-Fi,Thriller",error,1964-03-24,1964.0,3.0,24.0,Tuesday,400.0,0.0,-1.0,5.6,391.0,both,18.0
205,nm0000229,director,Steven Spielberg,1946.0,tt0072226,director,The Sugarland Express,110.0,"Crime,Drama",PG,1974-05-29,1974.0,5.0,29.0,Wednesday,3000000.0,7504841.0,1.5016136666666666,6.7,16994.0,both,28.0
