,nconst,writer,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
52492,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0222812,writer,Beyond Re-Animator,96.0,"Comedy,Horror,Sci-Fi",R,2003-07-25,2003.0,7.0,25.0,Friday,3000000.0,302586.0,-0.899138,5.8,11933.0,both,52.0
52493,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0223268,writer,Faust,98.0,"Drama,Fantasy,Horror",R,2001-02-02,2000.0,2.0,2.0,Friday,3000000.0,0.0,-1.0,4.3,4160.0,both,49.0
52494,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0258967,writer,The Unsaid,111.0,"Crime,Drama,Mystery",R,2001-09-14,2001.0,9.0,14.0,Friday,22000000.0,2154571.0,-0.9020649545454544,6.6,6421.0,both,50.0
52495,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0273517,writer,Darkness,88.0,Horror,PG-13,2004-12-25,2002.0,12.0,25.0,Saturday,10600000.0,33988736.0,2.206484528301887,5.4,19532.0,both,51.0
52497,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0371920,writer,Rottweiler,95.0,"Action,Horror,Sci-Fi",R,2005-06-10,2004.0,6.0,10.0,Friday,0.0,270402.0,inf,3.1,2254.0,both,53.0
52515,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt1925435,writer,Frankenstein's Army,84.0,"Horror,Sci-Fi",R,2013-05-18,2013.0,5.0,18.0,Saturday,0.0,0.0,,5.3,8543.0,both,62.0
52516,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt2381213,writer,Sundown,103.0,"Action,Adventure,Comedy",R,2016-05-13,2016.0,5.0,13.0,Friday,0.0,229963.0,inf,5.3,2349.0,both,65.0
52528,nm0857130,writer,Kirk R. Thatcher,1962.0,tt0117110,writer,Muppet Treasure Island,99.0,"Action,Adventure,Comedy",G,1996-02-16,1996.0,2.0,16.0,Friday,0.0,34327391.0,inf,6.9,23776.0,both,34.0
52558,nm0857904,writer,Nick Thiel,,tt0084876,writer,Voyager from the Unknown,91.0,"Family,Fantasy,Sci-Fi",error,1997-06-11,1982.0,6.0,11.0,Wednesday,0.0,0.0,,6.6,200.0,both,
52559,nm0857904,writer,Nick Thiel,,tt0097314,writer,The Experts,94.0,Comedy,PG-13,1989-01-13,1989.0,1.0,13.0,Friday,0.0,169203.0,inf,4.8,2480.0,both,
52560,nm0857904,writer,Nick Thiel,,tt0099575,writer,Fire Birds,85.0,"Action,Adventure",PG-13,1990-05-25,1990.0,5.0,25.0,Friday,22000000.0,14760451.0,-0.329070409090909,4.7,6393.0,both,
52561,nm0857904,writer,Nick Thiel,,tt0099816,writer,Shipwrecked,92.0,"Adventure,Family",PG,1991-03-01,1990.0,3.0,1.0,Friday,0.0,15104156.0,inf,6.6,2802.0,both,
52562,nm0857904,writer,Nick Thiel,,tt0103184,writer,V.I. Warshawski,89.0,"Action,Comedy,Crime",R,1991-07-26,1991.0,7.0,26.0,Friday,0.0,11128309.0,inf,4.9,5116.0,both,
52563,nm0857904,writer,Nick Thiel,,tt0103247,writer,White Fang,107.0,"Adventure,Drama",PG,1991-01-18,1991.0,1.0,18.0,Friday,14000000.0,34793160.0,1.4852257142857144,6.7,20731.0,both,
52564,nm0857904,writer,Nick Thiel,,tt0115580,writer,The Associate,114.0,Comedy,PG-13,1996-10-25,1996.0,10.0,25.0,Friday,0.0,12844057.0,inf,6.1,8134.0,both,
52645,nm0858826,writer,Frank Thomas,1912.0,tt0065421,writer,The Aristocats,78.0,"Adventure,Animation,Comedy",G,1970-12-24,1970.0,12.0,24.0,Thursday,4000000.0,35459543.0,7.86488575,7.1,101407.0,both,58.0
52646,nm0858826,writer,Frank Thomas,1912.0,tt0070608,writer,Robin Hood,83.0,"Adventure,Animation,Comedy",G,1973-11-08,1973.0,11.0,8.0,Thursday,5000000.0,0.0,-1.0,7.5,124014.0,both,61.0
52651,nm0860184,writer,Grant Thompson,1976.0,tt2097298,writer,"McFarland, USA",129.0,"Biography,Drama,Sport",PG,2015-02-20,2015.0,2.0,20.0,Friday,17000000.0,45710059.0,1.688827,7.4,38125.0,both,39.0
52655,nm0864435,writer,David N. Titcher,,tt0093567,writer,Morgan Stewart's Coming Home,96.0,Comedy,PG-13,1987-02-20,1987.0,2.0,20.0,Friday,0.0,2136381.0,inf,5.5,1001.0,both,
