US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
6/25/1980,,The Last Flight of Noah's Ark,,Live Action,,,,,
12/12/1980,,Popeye,Paramount Pictures,Live Action,,,,,
3/6/1981,,The Devil and Max Devlin,,Live Action,,,,,
3/20/1981,,Amy,,Live Action,,,,,
6/21/1981,,Dragonslayer,Paramount Pictures,Live Action,,,,,
8/7/1981,,Condorman,,Live Action,,,,,
7/10/1981,,The Fox and the Hound,,Animated feature,,,,,
7/9/1981,,Tron,,Live Action,,,,,
7/24/1981,,Night Crossing,,Live Action,,,,,
1982,,Tex,,Live Action,,,,,
1983,,Trenchcoat,,Live Action,,,,,
1983,,Something Wicked This Way Comes,,Live Action,,,,,
1983,,Never Cry Wolf,,Live Action,,,,,
1985,,Return to Oz,Silver Screen Partners II,Live Action,,,,,
1985,,The Black Cauldron,,Animated feature,,,,,
1985,,The Journey of Natty Gann,Silver Screen Partners II,Live Action,,,,,
1985,,One Magic Christmas,Silver Screen Partners II,Live Action,,,,,
7/30/1986,,Flight of the Navigator,Producers Sales Organization,Live Action,,,,,
11/21/1986,,The Great Mouse Detective,,Animated feature,,,,,
1987,,Benji the Hunted,Silver Screen Partners III,Live Action,,,,,
,,,Mulberry Square Productions,Live Action,,,,,
1987,,The Brave Little Toaster,The Kushner-Locke Company,Animated feature,,,,,
,,,Hyperion Pictures,Animated feature,,,,,
1988,,Return to Snowy River,Silver Screen Partners III,Live Action,,,,,
1988,,Who Framed Roger Rabbit,Silver Screen Partners III,Combines animation and live action,,,,,
,,,Amblin Entertainment,Combines animation and live action,,,,,
1988,,Oliver & Company,,Animated feature,,,,,
1989,,All Dogs Go to Heaven,FilmFour and StudioCanal,Animated feature,,,,,
8/18/1989,,Cheetah,Silver Screen Partners III,Live Action,,,,,
11/17/1989,,The Little Mermaid,,Animated feature,,,,,
1990,,DuckTales the Movie: Treasure of the Lost Lamp,DisneyToon Studios,Animated feature,,,,,
10/10/1990,,"Honey, I Shrunk the Kids",Silver Screen Partners III,Live Action,,,,,
11/16/1990,,The Rescuers Down Under,,Animated feature,,,,,
3/3/1991,,White Fang,Silver Screen Partners IV,Live Action,,,,,
4/4/1991,,Shipwrecked,,Live Action,,,,,
5/5/1991,,Wild Hearts Can't Be Broken,Silver Screen Partners IV,Live Action,,,,,
6/6/1991,,The Rocketeer,Silver Screen Partners IV,Live Action,,,,,
7/17/1991,,Beauty and the Beast,,Animated feature,,,,,
1992,,Newsies,,Live Action,,,,,
1992,,"Honey, I Blew Up the Kid",Touchwood Pacific Partners,Live Action,,,,,
1992,,Aladdin,,Animated feature,,,,,
1992,,The Mighty Ducks,Avnet–Kerner Productions,Live Action,,,,,
1993,,Homeward Bound: The Incredible Journey,,Live Action,,,,,
1994,,White Fang 2: Myth of the White Wolf,,Live Action,,,,,
1994,,The Lion King,,Animated feature,,,,,
1994,,Angels in the Outfield,Caravan Pictures,Live Action,,,,,
1994,,Squanto: A Warrior's Tale,,Live Action,,,,,
1994,,The Santa Clause,Hollywood Pictures,Live Action,,,,,
1994,,Rudyard Kipling's The Jungle Book,,Live Action,,,,,
1995,,Heavyweights,Caravan Pictures,Live Action,,,,,
1995,,Man of the House,,Live Action,,,,,
1995,,Tall Tale,Caravan Pictures,Live Action,,,,,
1995,,Pocahontas,,Animated feature,,,,,
1995,,Operation Dumbo Drop,Polygram Filmed Entertainment,Live Action,,,,,
1995,,A Kid in King Arthur's Court,Trimark Pictures,Live Action,,,,,
1995,,The Big Green,Caravan Pictures,Live Action,,,,,
1995,,Toy Story,Pixar Animation Studios,Animated feature,,,,,
1/1/1996,,First Kid,Caravan Pictures,Live Action,,,,,
2/7/1996,,Mr. Magoo,,Live Action,,,,,
2/16/1996,,Homeward Bound II: Lost in San Francisco,,Live Action,,,,,
4/12/1996,,James and the Giant Peach,Allied Filmmakers,Combines animation and live action,,,,,
6/21/1996,,The Hunchback of Notre Dame,,Animated feature,,,,,
1996,,All Dogs Go to Heaven 2,,Animated feature,,,,,
11/27/1996,,101 Dalmatians,Great Oaks,Live Action,,,,,
12/12/1996,,Muppet Treasure Island,Jim Henson Productions,Live Action,,,,,
1997,,Jungle 2 Jungle,TF1,Live Action,,,,,
1997,,George of the Jungle,Mandeville Films,Live Action,,,,,
1997,,Air Bud,,Live Action,,,,,
1997,,Hercules,,Animated feature,,,,,
1997,,Flubber,Great Oaks,Live Action,,,,,
1997,,That Darn Cat,,Live Action,,,,,
1997,,RocketMan,Caravan Pictures,Live Action,,,,,
1998,,Mulan,,Animated feature,,,,,
1998,,A Bug's Life,Pixar Animation Studios,Animated feature,,,,,
1998,,Meet the Deedles,,Live Action,,,,,
1998,,My Date with the President's Daughter,,Live Action,,,,,
1998,,I'll Be Home for Christmas,Mandeville Films,Live Action,,,,,
6/18/1999,,Tarzan,,Animated feature,,,,,
7/23/1999,,Inspector Gadget,Caravan Pictures,Live Action,,,,,
11/11/1999,,Toy Story 2,Pixar Animation Studios,Animated feature,,,,,
12/17/1999,,Fantasia 2000,,Animated feature,,,,,
2000,,The Tigger Movie,Creative Capers Entertainment,Animated feature,,,,,
